Alim. Car. NITENS 1;Alim. Cam. NITENS 1;Pic. Car. NITENS 1;Pic. Cam. NITENS 1;Total Alim. NITENS 1;Tiempo muerto L. corta 1;Tiempo efectivo L. corta 1;Tiempo muerto L. larga 1;Tiempo efectivo L. larga 1;Disp. L. corta 1;Disp. L. larga 1;Velocidad 1 ;Velocidad Real 1 ;PM NITENS 1;Consumo Diges. PT 1;Inv. Asti. NITENS 1;Inv. Asti. GLOBULUS 1;PM Galpon 194-1;PM Caldera 198-1;PM Secador 1;Inv. Corteza 1;Alim. Car. NITENS 2;Alim. Cam. NITENS 2;Pic. Car. NITENS 2;Pic. Cam. NITENS 2;Total Alim. NITENS 2;Tiempo muerto L. corta 2;Tiempo efectivo L. corta 2;Tiempo muerto L. larga 2;Tiempo efectivo L. larga 2;Disp. L. corta 2;Disp. L. larga 2;Velocidad 2;Velocidad Real 2;PM NITENS 2;Consumo Diges. PT 2;Inv. Asti. NITENS 2;Inv. Asti. GLOBULUS 2;PM Galpon 194-2;PM Caldera 198-2;PM Secador 2;Inv. Corteza 2;Total Astillado;Prod. Total
102;0;3524;0;3524;275;1165;1440;0;0,809;0;147;180;6105;5861;6064;5861;817;1210;705;1107;51;0;1762;0;1762;480;960;480;960;0,6667;0,6667;73;110;6105;5861;6105;5861;817;1210;705;-393;5285;6105
91;0;3144;0;3144;340;1100;1440;0;0,7639;0;131;167;5160;5407;11186;11268;843;1196;797;754;45;0;1555;0;1555;535;905;535;905;0,6285;0,6285;65;104;5160;5407;11265;11268;843;1196;797;-746;4698;5160
84;0;2902;0;2902;320;1120;1440;0;0,7778;0;121;156;5028;5196;16178;16464;835;1164;0;425;75;0;2591;0;2591;475;965;475;965;0,6701;0,6701;108;164;5028;5196;16293;16464;835;1164;0;-1075;5493;5028
55;37;1900;942;2842;350;1090;1440;0;0,7569;0;118;158;4635;5838;20772;22302;819;1124;470;120;44;20;1520;509;2029;435;1005;435;1005;0,6979;0,6979;85;122;4635;5838;20928;22302;819;1124;470;-1380;4871;4635
57;43;1969;1095;3064;525;915;1440;0;0,6354;0;128;190;6452;3258;27201;25560;887;1112;572;-105;28;56;967;1425;2393;260;1180;540;900;0,8194;0,625;100;122;6452;3258;27380;25560;887;1112;572;-1605;5456;6452
56;42;1935;1069;3004;315;1125;1320;120;0,7813;0,0833;125;148;8260;3578;35436;29138;972;1192;508;-325;48;68;1658;1731;3389;265;1175;1050;390;0,816;0,2708;141;172;8260;3578;35640;29138;972;1192;508;-1825;6393;8260
75;0;2591;0;2591;445;995;445;995;0,691;0,691;108;155;6163;5881;49246;40924;933;1173;683;-592;86;0;2971;0;2971;335;1105;1020;420;0,7674;0,2917;124;163;6163;5881;49532;37232;933;1173;683;-2080;5562;6163
102;7;3524;178;3702;180;1260;180;1260;0,875;0,875;154;176;5780;5534;54987;46458;1164;1192;300;-620;43;12;1485;305;1791;425;1015;695;745;0,7049;0,5174;75;108;5780;5534;55312;42766;1164;1192;300;-2108;5493;5780
81;19;2798;484;3282;390;1050;670;770;0,7292;0,5347;137;194;6059;4749;61013;51207;1002;1130;222;-748;67;10;2315;255;2569;255;1185;255;1185;0,8229;0,8229;107;129;6059;4749;61371;47515;1002;1130;222;-2236;5851;6059
64;3;2211;76;2287;540;900;540;900;0,625;0,625;95;145;5705;5898;66676;57105;1130;1085;519;-703;69;12;2384;305;2689;340;1100;340;1100;0,7639;0,7639;112;145;5705;5898;67076;53413;1130;1085;519;-2191;4976;5705
102;9;3524;229;3753;250;1190;550;890;0,8264;0,6181;156;189;6005;6068;72639;63173;1029;1152;527;-826;58;6;2004;153;2156;700;740;705;735;0,5139;0,5104;90;181;6005;6068;73081;59481;1029;1152;527;-2314;5909;6159
121;15;4180;382;4562;228;1212;1033;407;0,8417;0,2826;190;227;7805;3922;80416;67095;1005;1181;548;-1002;53;38;1831;967;2798;383;1057;840;600;0,734;0,4167;117;163;7805;3922;80886;63403;1005;1181;548;-2490;7360;8506
70;6;2418;153;2571;190;1250;190;1250;0,8681;0,8681;107;124;6837;5299;87216;72394;1138;1205;591;-1069;81;16;2798;407;3205;538;902;1180;260;0,6264;0,1806;134;224;6837;5299;87723;68702;1138;1205;591;-2557;5776;7448
99;0;3420;0;3420;285;1155;285;1155;0,8021;0,8021;143;177;6280;5934;93455;78328;1209;1237;575;-1097;81;0;2798;0;2798;262;1178;332;1108;0,8181;0,7694;117;139;6280;5934;94003;74636;1209;1237;575;-2585;6218;6280
94;12;3247;305;3553;190;1250;190;1250;0,8681;0,8681;148;171;8635;6476;102044;84804;1150;1184;668;-1131;120;0;4145;0;4145;215;1225;580;860;0,8507;0,5972;173;195;8635;6476;102638;81112;1150;1184;668;-2619;7698;8635
99;0;3420;0;3420;385;1055;385;1055;0,7326;0,7326;143;196;7070;6029;109072;90833;1079;1126;602;-1178;83;36;2867;916;3784;450;990;565;875;0,6875;0,6076;158;225;7070;6029;109708;87141;1079;1126;602;-2666;7204;8689
87;18;3005;458;3464;300;1140;300;1140;0,7917;0,7917;144;183;6287;5075;115324;95908;990;1093;543;-1281;67;12;2315;305;2620;780;660;1260;180;0,4583;0,125;109;234;6287;5075;115995;92216;990;1093;543;-2769;6084;7165
78;12;2695;305;3000;415;1025;455;985;0,7118;0,684;125;179;6320;6128;121601;102036;991;990;564;-1280;84;29;2902;738;3640;350;1090;555;885;0,7569;0,6146;152;198;6320;6128;122315;98344;991;990;564;-2768;6640;9930
86;33;2971;840;3811;465;975;465;975;0,6771;0,6771;159;235;5981;6250;127538;108286;998;1101;714;-1383;38;27;1313;687;2000;445;995;290;1150;0,691;0,7986;83;119;5981;6250;128296;104594;998;1101;714;-2871;5811;5981
77;36;2660;916;3576;195;1245;195;1245;0,8646;0,8646;149;173;5238;5899;132735;114185;882;1150;612;-1651;51;24;1762;611;2373;775;665;775;665;0,4618;0,4618;99;201;5238;5899;133534;110493;882;1150;612;-3139;5949;5238
154;4;5320;102;5422;150;1290;450;990;0,8958;0,6875;226;251;5130;6089;137822;120274;1084;965;725;-1532;8;0;276;0;276;1240;200;1240;200;0,1389;0,1389;12;83;5130;6089;138664;116582;1084;965;725;-3020;5698;5130
81;55;2798;1400;4198;250;1190;250;1190;0,8264;0,8264;175;213;6095;5862;143876;126136;1077;942;806;-1397;49;40;1693;1018;2711;252;1188;252;1188;0,825;0,825;113;137;6095;5862;144759;122444;1077;942;806;-2885;6909;6095
67;45;2315;1145;3460;250;1190;250;1190;0,8264;0,8264;144;174;6007;5806;149842;131942;1129;951;803;-1219;43;49;1485;1247;2733;369;1071;369;1071;0,7438;0,7438;114;157;6007;5806;150766;128250;1129;951;803;-2707;6193;6007
71;31;2453;789;3242;205;1235;205;1235;0,8576;0,8576;135;156;6080;6070;155880;138012;1080;950;760;-1089;58;4;2004;102;2105;715;725;1135;305;0,5035;0,2118;88;171;6080;6070;156846;134320;1080;950;760;-2577;5347;6080
65;45;2245;1145;3391;255;1185;255;1185;0,8229;0,8229;141;176;6280;6208;162116;144220;805;829;414;-1113;61;20;2107;509;2616;520;920;1240;200;0,6389;0,1389;109;172;6280;6208;163126;140528;805;829;414;-2601;6007;6280
73;41;2522;1044;3565;160;1280;160;1280;0,8889;0,8889;149;167;5955;5764;168031;149984;972;897;751;-1038;47;0;1624;0;1624;760;680;750;690;0,4722;0,4792;68;143;5955;5764;169081;146292;972;897;751;-2526;5189;5955
87;33;3005;840;3845;425;1015;590;850;0,7049;0,5903;160;229;6245;5313;174239;155297;770;632;571;-900;62;14;2142;356;2498;450;990;370;1070;0,6875;0,7431;104;150;6245;5313;175326;151605;770;632;571;-2388;6344;6245
87;5;3005;127;3133;240;1200;700;740;0,8333;0,5139;131;158;6525;5607;180725;160904;801;534;729;-633;91;0;3144;0;3144;245;1195;305;1135;0,8299;0,7882;131;158;6525;5607;181851;157212;801;534;729;-2121;6276;6525
73;21;2522;535;3056;322;1118;322;1118;0,7764;0,7764;127;164;6042;5750;186726;166654;581;515;548;-567;76;42;2625;1069;3695;237;1203;455;985;0,8354;0,684;154;184;6042;5750;187893;162962;581;515;548;-2055;6751;6042
73;29;2522;738;3260;260;1180;250;1190;0,8194;0,8264;136;165;7116;6050;7074;6050;475;272;456;1703;45;33;1555;840;2395;675;765;955;485;0,5313;0,3368;100;165;7116;6050;7116;6050;475;272;456;203;5655;7116
74;8;2556;204;2760;205;1235;205;1235;0,8576;0,8576;115;134;7930;6257;14960;12307;630;0;428;2333;72;28;2487;713;3200;328;1112;810;630;0,7722;0,4375;133;170;7930;6257;15046;12307;630;0;428;833;5960;7930
87;3;3005;76;3082;385;1055;385;1055;0,7326;0,7326;128;174;6847;6158;21764;18465;531;217;410;2647;44;55;1520;1400;2920;520;920;890;550;0,6389;0,3819;122;180;6847;6158;21893;18465;531;217;410;1147;6002;6847
85;23;2936;585;3522;220;1220;220;1220;0,8472;0,8472;147;172;9012;898;30769;19363;644;953;259;2338;91;39;3144;993;4136;343;1097;1440;0;0,7618;0;172;228;9012;898;30905;19363;644;953;259;838;7658;9012
93;0;3213;0;3213;345;1095;345;1095;0,7604;0,7604;134;176;6585;6280;37310;25643;811;1018;386;2131;91;0;3144;0;3144;326;1114;675;765;0,7736;0,5313;131;170;6585;6280;37490;25643;811;1018;386;631;6356;6585
79;18;2729;458;3187;250;1190;250;1190;0,8264;0,8264;133;161;7414;6261;44681;31904;776;847;616;2060;85;7;2936;178;3115;324;1116;633;807;0,775;0,5604;130;163;7414;6261;44904;31904;776;847;616;560;6302;7414
39;20;1347;509;1856;825;615;825;615;0,4271;0,4271;77;182;2943;2623;53478;40381;464;886;89;1613;26;13;898;331;1229;780;660;780;660;0,4583;0,4583;51;113;2943;2623;53761;40381;464;886;89;142;3085;2943
66;15;2280;382;2662;658;782;998;442;0,5431;0,3069;111;208;4711;4598;58157;44979;424;805;311;1232;43;12;1485;305;1791;653;787;653;787;0,5465;0,5465;75;136;4711;4598;58472;44979;424;805;311;-239;4453;4711
96;8;3316;204;3520;430;1010;960;480;0,7014;0,3333;147;206;4858;6019;62973;50998;766;794;635;1204;10;0;345;0;345;1250;190;1250;190;0,1319;0,1319;14;109;4858;6019;63330;50998;766;794;635;-267;3865;4858
58;2;2004;51;2055;605;835;605;835;0,5799;0,5799;86;146;4692;6308;67621;57306;631;921;500;914;72;4;2487;102;2589;542;898;1380;60;0,6236;0,0417;108;171;4692;6308;68022;57306;631;921;500;-557;4644;4692
108;0;3731;0;3731;270;1170;270;1170;0,8125;0,8125;155;192;6890;6201;74467;63507;971;1039;606;846;78;0;2695;0;2695;417;1023;1210;230;0,7104;0,1597;112;163;6890;6201;74912;63507;971;1039;606;-625;6425;7044
76;9;2625;229;2855;478;962;445;995;0,6681;0,691;119;178;5582;6518;80004;70025;1014;1028;792;832;58;28;2004;713;2716;330;1110;340;1100;0,7708;0,7639;113;147;5582;6518;80494;70025;1014;1028;792;-639;5571;7640
81;45;2798;1145;3944;280;1160;740;700;0,8056;0,4861;164;205;5553;5916;85515;75941;658;858;515;632;38;9;1313;229;1542;840;600;840;600;0,4167;0,4167;64;157;5553;5916;86047;75941;658;858;515;-839;5485;6196
76;56;2625;1425;4051;315;1125;1200;240;0,7813;0,1667;169;217;5635;6427;91105;82368;664;528;592;768;8;7;276;178;455;1250;190;1250;190;0,1319;0,1319;19;144;5635;6427;91682;82368;664;528;592;-703;4506;5635
66;7;2280;178;2458;355;1085;355;1085;0,7535;0,7535;102;137;5505;6403;96566;88771;793;568;551;993;79;23;2729;585;3315;275;1165;430;1010;0,809;0,7014;138;171;5505;6403;97187;88771;793;568;551;-478;5773;5505
58;7;2004;178;2182;570;870;750;690;0,6042;0,4792;91;168;4874;3795;101413;92566;614;442;453;1165;73;4;2522;102;2624;530;910;420;1020;0,6319;0,7083;109;176;4874;3795;102061;92566;614;442;453;-306;4805;6815
89;11;3075;280;3355;365;1075;365;1075;0,7465;0,7465;140;196;5365;5102;106742;97668;795;562;649;1398;70;12;2418;305;2724;405;1035;185;1255;0,7188;0,8715;113;155;5365;5102;107426;97668;795;562;649;-73;6078;6361
100;0;3455;0;3455;375;1065;375;1065;0,7396;0,7396;144;199;6145;5943;112846;103611;690;272;309;1816;89;0;3075;0;3075;310;1130;510;930;0,7847;0,6458;128;160;6145;5943;113571;103611;690;272;309;345;6529;9340
97;0;3351;0;3351;330;1110;370;1070;0,7708;0,7431;140;178;5775;6046;118578;109657;585;0;0;2401;90;0;3109;0;3109;255;1185;660;780;0,8229;0,5417;130;162;5775;6046;119346;109657;585;0;0;930;6460;5775
80;31;2764;789;3553;270;1170;270;1170;0,8125;0,8125;148;181;6620;5729;125158;115386;646;67;0;2980;95;3;3282;76;3358;368;1072;658;782;0,7444;0,5431;140;180;6620;5729;125966;115386;646;67;0;1509;6911;6620
65;14;2245;356;2602;410;1030;410;1030;0,7153;0,7153;108;150;4630;5512;129750;120898;504;579;380;2905;33;22;1140;560;1700;640;800;600;840;0,5556;0,5833;71;126;4630;5512;130596;120898;504;579;380;1434;4302;4630
66;4;2280;102;2382;220;1220;470;970;0,8472;0,6736;99;117;6101;6137;135808;127035;776;733;705;2948;67;45;2315;1145;3460;273;1167;728;712;0,8104;0,4944;144;179;6101;6137;136697;127035;776;733;705;1477;5842;6101
55;48;1900;1222;3122;320;1120;630;810;0,7778;0,5625;130;169;6274;5277;142045;132312;878;926;636;2900;62;25;2142;636;2778;340;1100;340;1100;0,7639;0,7639;116;150;6274;5277;142971;132312;878;926;636;1429;5900;6274
348;0;12022;0;12022;210;1230;205;1235;0,8542;0,8576;501;586;4545;3754;146564;136066;599;653;598;2846;56;34;1935;865;2800;300;1140;565;875;0,7917;0,6076;121;153;4545;3754;147516;136066;599;653;598;1375;14925;4545
90;0;3109;0;3109;315;1125;315;1125;0,7813;0,7813;130;165;5240;5595;151764;141661;769;661;646;2954;99;0;3420;0;3420;420;1020;305;1135;0,7083;0,7882;143;213;5240;5595;152756;141661;769;661;646;1483;6529;5240
49;0;1693;0;1693;740;700;980;460;0,4861;0,3194;71;133;4580;5080;156309;146741;518;652;502;2820;75;29;2591;738;3329;385;1055;200;1240;0,7326;0,8611;139;185;4580;5080;157336;146741;518;652;502;1349;5022;4580
62;0;2142;0;2142;600;840;600;840;0,5833;0,5833;89;146;6110;3620;162393;150361;642;500;409;2962;47;26;1624;662;2285;235;1205;55;1385;0,8368;0,9618;95;116;6110;3620;163446;150361;642;500;409;1491;4427;6110
90;30;3109;764;3873;260;1180;810;630;0,8194;0,4375;161;197;6290;5390;6252;5390;927;764;748;1663;88;27;3040;687;3727;520;920;825;615;0,6389;0,4271;155;243;6290;5390;6290;5390;927;764;748;163;7600;6290
66;65;2280;1655;3935;255;1185;705;735;0,8229;0,5104;164;197;7202;6223;13411;11613;748;669;733;1742;55;41;1900;1044;2944;401;1039;401;1039;0,7215;0,7215;123;166;7202;6223;13492;11613;748;669;733;242;6878;7202
